Country,Indicator,,,,Year
Timor-Leste,10,East Asia and Pacific,-8.7676 125.9664,Timor-Leste,2019
Togo,9,Sub-Saharan Africa,8.8015 0.9075,Togo,2019
Tonga,3,East Asia and Pacific,-196.428,Tonga,2019
Trinidad and Tobago,1,Latin America and Caribbean,10.4282 -61.3304,Trinidad and Tobago,2019
Tunisia,1,Middle East and North Africa,33.7774 9.0109,Tunisia,2019
Turkey,1,Europe and Central Asia,39.3196 34.3321,Turkey,2019
Turkmenistan,6,Europe and Central Asia,39.4791 59.5154,Turkmenistan,2019
Tuvalu,3,East Asia and Pacific,-8.5042 179.2049,Tuvalu,2019
Uganda,5,Sub-Saharan Africa,1.9676 32.9896,Uganda,2019
Ukraine,1,Europe and Central Asia,48.8464 33.5486,Ukraine,2019
United Arab Emirates,0,Middle East and North Africa,23.3865 54.2485,United Arab Emirates,2019
United Kingdom,0,Europe and Central Asia,52.4072 -1.7451,United Kingdom,2019
United States,1,North America,39.7837 -100.4459,United States,2019
Uruguay,1,Latin America and Caribbean,-88.7842,Uruguay,2019
Uzbekistan,2,Europe and Central Asia,41.8936 63.8434,Uzbekistan,2019
Vanuatu,7,East Asia and Pacific,-15.296 166.885,Vanuatu,2019
Venezuela,5,Latin America and Caribbean,7.1583 -64.0124,Venezuela (Bolivarian Republic of),2019
Vietnam,4,East Asia and Pacific,15.9267 107.9651,Viet Nam,2019
Yemen,9,Middle East and North Africa,15.3921 45.4111,Yemen,2019
Zambia,9,Sub-Saharan Africa,-14.9226 26.1418,Zambia,2019
Zimbabwe,7,Sub-Saharan Africa,-18.907 29.7885,Zimbabwe,2019
